1,01/01/2026,instagram,15,45
1,01/01/2026,whatsapp,40,30
1,02/01/2026,instagram,5,15
1,02/01/2026,whatsapp,25,20
1,03/01/2026,instagram,20,50
1,03/01/2026,whatsapp,50,40
1,04/01/2026,youtube,10,60
1,05/01/2026,instagram,12,35
2,01/01/2026,youtube,15,120
2,02/01/2026,youtube,5,45
2,03/01/2026,youtube,12,90
2,04/01/2026,youtube,20,110
2,05/01/2026,tiktok,30,60
2,06/01/2026,youtube,10,80
3,01/01/2026,instagram,30,20
3,01/01/2026,tiktok,60,40
3,02/01/2026,instagram,35,25
3,02/01/2026,tiktok,70,45
3,03/01/2026,whatsapp,40,15
3,04/01/2026,instagram,10,5
3,05/01/2026,instagram,40,30
3,06/01/2026,tiktok,80,50
3,07/01/2026,whatsapp,45,20
4,01/01/2026,whatsapp,80,60
4,01/01/2026,instagram,20,40
4,02/01/2026,whatsapp,75,55
4,02/01/2026,instagram,15,35
4,03/01/2026,whatsapp,90,70
4,04/01/2026,whatsapp,85,65
4,05/01/2026,instagram,25,45
4,06/01/2026,whatsapp,70,50
4,07/01/2026,instagram,10,30
4,08/01/2026,whatsapp,60,40
5,01/01/2026,tiktok,200,180
5,02/01/2026,tiktok,250,200
5,03/01/2026,tiktok,180,150
5,04/01/2026,tiktok,40,30
5,05/01/2026,tiktok,210,170
5,06/01/2026,tiktok,230,190
5,07/01/2026,youtube,15,60
5,08/01/2026,tiktok,190,160
5,09/01/2026,tiktok,170,140
5,10/01/2026,tiktok,220,185
5,11/01/2026,youtube,10,45
5,12/01/2026,tiktok,215,175
5,13/01/2026,tiktok,205,165
5,14/01/2026,tiktok,195,155
5,15/01/2026,youtube,12,55
5,16/01/2026,tiktok,185,145
5,17/01/2026,tiktok,175,135
